                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84948,                 0.4868,                0.95816,                0.71345,                0.87761,                0.83429,                0.55121,                 1.2055,                0.99357,                 1.1588,               0.001439,               0.001439,               0.001439
                     37,                0.80576,                0.47842,                0.93997,                0.63114,                0.91642,                0.68173,                0.47998,                 1.0824,                 1.0419,                 1.0992,              0.0014225,              0.0014225,              0.0014225
                     38,                0.84118,                0.47795,                0.95672,                0.62464,                0.91642,                0.70832,                0.53402,                0.93982,                 1.0412,                 1.0299,               0.001406,               0.001406,               0.001406
                     39,                0.83005,                0.47058,                0.94642,                0.62996,                0.91343,                0.72472,                0.53376,                0.96733,                 1.0747,                 1.0318,              0.0013895,              0.0013895,              0.0013895
                     40,                0.81972,                0.47627,                0.94845,                0.62839,                0.91045,                 0.7507,                0.56193,                0.99526,                0.98876,                 1.0417,               0.001373,               0.001373,               0.001373
                     41,                0.82719,                0.48188,                 0.9449,                0.62717,                0.91045,                0.73753,                0.55059,                  1.018,                 1.0312,                 1.0763,              0.0013565,              0.0013565,              0.0013565
                     42,                0.81146,                0.47066,                 0.9461,                0.62451,                 0.9194,                0.70065,                0.51503,                0.95704,                 1.0001,                0.99977,                0.00134,                0.00134,                0.00134
                     43,                0.78786,                0.46343,                 0.9417,                 0.6121,                0.91382,                0.68122,                0.50379,                0.95892,                 1.0168,                 1.0553,              0.0013235,              0.0013235,              0.0013235
                     44,                 0.8067,                0.46147,                0.93597,                0.62575,                0.91045,                0.82792,                 0.6383,                0.90767,                 0.9138,                 1.0501,               0.001307,               0.001307,               0.001307
                     45,                0.83098,                0.47961,                0.94428,                0.66484,                0.84677,                0.84885,                0.66102,                0.87596,                0.90667,                  1.004,              0.0012905,              0.0012905,              0.0012905
                     46,                 0.7913,                0.45078,                0.92902,                0.67373,                0.82388,                0.86365,                0.65373,                0.97347,                0.89314,                 1.0636,               0.001274,               0.001274,               0.001274
                     47,                0.80163,                0.45572,                0.93054,                0.63857,                0.87022,                0.82663,                0.62232,                0.96408,                0.93511,                 1.0258,              0.0012575,              0.0012575,              0.0012575
                     48,                0.79052,                0.45656,                0.93806,                0.69307,                0.86567,                0.81843,                0.62546,                 0.9123,                0.89457,                0.99817,               0.001241,               0.001241,               0.001241
                     49,                0.80658,                0.46741,                0.93871,                0.61971,                 0.9194,                 0.8403,                0.62679,                0.95774,                0.91071,                 1.0465,              0.0012245,              0.0012245,              0.0012245
                     50,                0.78654,                0.46281,                 0.9318,                0.61718,                0.89254,                0.82073,                0.61859,                0.96716,                0.95424,                 1.0367,               0.001208,               0.001208,               0.001208
                     51,                 0.7631,                0.45127,                0.92667,                 0.6255,                0.91239,                0.81777,                0.64254,                0.89353,                0.93786,                 1.0077,              0.0011915,              0.0011915,              0.0011915
                     52,                0.76818,                0.43294,                0.92503,                0.64973,                0.89254,                0.80836,                0.62985,                0.90476,                0.92349,                 1.0115,               0.001175,               0.001175,               0.001175
                     53,                0.74001,                0.44074,                0.92189,                0.62491,                0.91343,                0.81222,                0.63874,                0.93958,                0.91913,                 1.0211,              0.0011585,              0.0011585,              0.0011585
                     54,                0.72546,                0.44309,                0.93566,                0.61599,                0.87164,                 0.7833,                0.59617,                0.97709,                0.97096,                 1.0593,               0.001142,               0.001142,               0.001142
                     55,                0.75156,                0.43985,                0.93326,                0.60702,                0.85075,                0.78928,                0.57245,                 1.0639,                 1.0394,                 1.1053,              0.0011255,              0.0011255,              0.0011255
                     56,                 0.7431,                0.43995,                0.91466,                0.57846,                0.87761,                0.73596,                 0.5586,                 1.0377,                 1.0437,                  1.101,               0.001109,               0.001109,               0.001109
                     57,                0.73946,                0.42711,                 0.9174,                0.63276,                0.91343,                0.77461,                0.59008,                0.98489,                0.98071,                 1.0715,              0.0010925,              0.0010925,              0.0010925
                     58,                0.74702,                0.43818,                 0.9178,                0.62665,                0.91045,                0.80913,                0.61627,                0.94188,                 1.0078,                 1.0433,               0.001076,               0.001076,               0.001076
